,train,test,results
ada,0.12585399999999614,0.0073449999999981586,0.956140350877193
ann,1.4648140000000027,0.01083299999999765,0.8771929824561403
ann normalized,9.568201999999998,0.00953099999999818,0.9824561403508771
dt,0.10423999999999878,0.005882999999998306,0.9473684210526315
knn,0.017533999999998162,0.027571999999998376,0.9210526315789473
svm,8.135309,0.0047480000000001965,0.956140350877193
svm normalized,0.02123700000000106,0.0034840000000038174,0.9824561403508771
