,train,test,results
ada,7.741549000000003,0.10851299999999853,0.9833333333333333
ann,20.532419000000015,0.02245800000000031,0.9722222222222222
ann normalized,26.211025000000006,0.02312599999998355,0.9666666666666667
dt,0.2359530000000163,0.006600000000002382,0.8444444444444444
knn,0.04152799999997825,0.9397429999999858,0.9861111111111112
svm,0.3264730000000142,0.09537600000000523,0.9666666666666667
svm normalized,0.3730449999999763,0.0941710000000171,0.9666666666666667
