,Breast Cancer,Digits,bc,digits
EMxtra,0.5162259999999996,0.6015230000000003,,
FA,,,0.4404820000000029,0.47340900000000374
ICA,,,0.5946930000000066,0.5077129999999954
KmeansXtra,0.5156599999999969,0.5521840000000111,,
PCA,,,0.4648609999999991,0.4981599999999986
RP,,,0.4526440000000065,0.48692199999999275
default,0.5761919999999989,0.5834890000000001,,
